POAM ID,Controls,Weakness Name,Weakness Description,Weakness Detector Source,Weakness Source Identifier,Asset Identifier,Point of Contact,Resources Required,Remediation Plan,Original Detection Date,Scheduled Completion Date,Status Date,Vendor Dependency,Last Vendor Check-in Date,Vendor Dependent Product Name,Original Risk Rating,Adjusted Risk Rating,Risk Adjustment,False Positive,Operational Requirement,Deviation Rationale,Supporting Documents,Comments,Binding Operational Directive 22-01 tracking,Binding Operational Directive 22-01 Due Date,CVE
"V-70","RA-5","","","","CWE-426","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-4802"
"V-71","RA-5, SI-2","","","","CWE-1333","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.23-r1","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-6069"
"V-72","RA-5, SI-2","","","","CWE-789","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-66199"
"V-73","RA-5, SI-2","Out-of-bounds Write","Information Input Validation","SI-10","CWE-787","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-68160"
"V-74","RA-5, SI-2","Missing Required Cryptographic Step","Cryptographic Protection","SC-13","CWE-325","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-69418"
"V-75","RA-5, SI-2","Out-of-bounds Write","Information Input Validation","SI-10","CWE-787","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-69419"
"V-76","RA-5, SI-2","","","","CWE-754","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-69420"
"V-77","RA-5, SI-2","NULL Pointer Dereference","Information Input Validation","SI-10","CWE-476","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.5","7.5","N/A","Grype","","","","","","","CVE-2025-69421"
"V-78","RA-5","","","","CWE-197","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","9.8","9.8","N/A","Grype","","","","","","","CVE-2025-6965"
"V-79","RA-5, SI-2","Double Free","","","CWE-415","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.41-r56","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-8058"
"V-80","RA-5, SI-2","","","","CWE-835","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.25-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-8194"
"V-81","RA-5, SI-2","","","","CWE-1285","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.24-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-8291"
"V-82","RA-5, SI-2","Out-of-bounds Read","Information Input Validation","SI-10","CWE-125","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.5.4-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-9230"
"V-83","RA-5, SI-2","","","","CWE-385","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.5.4-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-9231"
"V-84","RA-5, SI-2","Out-of-bounds Read","Information Input Validation","SI-10","CWE-125","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.5.4-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-9232"
"V-85","RA-5","","","","CWE-93","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2026-0672"
"V-86","RA-5, SI-2","Integer Overflow or Wraparound","Information Input Validation","SI-10","CWE-190","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.42-r6","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2026-0861"
"V-87","RA-5","","","","CWE-74","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2026-0865"
"V-88","RA-5, SI-2","","","","CWE-908","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.42-r6","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2026-0915"
"V-89","RA-5","","","","CWE-93","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2026-1299"
"V-90","RA-5, SI-2","","","","CWE-754","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2026-22795"
"V-91","RA-5, SI-2","","","","CWE-754","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2026-22796"
"V-92","RA-5","","","","CWE-1284","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.5","5.5","N/A","Grype","","","","","","","CVE-2026-27171"


